X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-83.1073306,42.0899859,319878687,4252,Community Support Services,,Amherstburg Community Services,,Amherstburg Amherstburg C.Service,,601 Sandwich Street South,,,Amherstburg,N9V3Z7,2024/06/25 13:34:32+00,2024/06/25 11:41:22+00,2024/06/25 21:54:59+00,2067761
-79.5519805,43.8121064,319886595,9329354,Pharmacy,Retail Pharmacy,Weston Pharmacare,,,,8633 Weston Road,6,,Woodbridge,L4L9R6,2024/06/25 13:33:23+00,2024/06/25 11:59:04+00,2024/06/25 21:54:59+00,2067777
-79.9167092,46.373006,319883047,5111238,Pharmacy,Long Term Care Facility,The West Nipissing Gene. Hosp.,,,,725 Coursol,,,Sturgeon Falls,P2B2Y6,2024/06/25 13:35:46+00,2024/06/25 11:50:56+00,2024/06/25 21:54:59+00,2067793
-80.9990368,46.493745,319877259,2165,Mental Health and Addiction Organization,Addiction Services,N'Swakamok Native Friendship Centre,,,,110 Elm Street,,Administration and Practice Location,Sudbury,P3C1T5,2024/06/25 13:34:51+00,2024/06/25 11:38:01+00,2024/06/25 21:54:59+00,2067809
-79.873325,47.8252228,319885827,8568999,Pharmacy,Retail Pharmacy,Marshall'S Pharmasave,,,,43 3Rd Street,,,Englehart,P0J1H0,2024/06/25 13:35:18+00,2024/06/25 11:56:49+00,2024/06/25 21:54:59+00,2067825
-82.6006367,42.0380509,319882177,3671716,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,288 S. Erie Street,,,Leamington,N8H3C5,2024/06/25 13:37:32+00,2024/06/25 11:49:12+00,2024/06/25 21:54:59+00,2067841
-82.9051126,42.3320078,319884308,6750857,Pharmacy,Long Term Care Facility,"Versa-Care Place, Tecumseh",,,,1400 Banwell Road,,,Tecumseh,N8N2M4,2024/06/25 13:35:35+00,2024/06/25 11:53:29+00,2024/06/25 21:54:59+00,2067857
-78.9144868,42.9098495,319877154,1978,Mental Health and Addiction Organization,Addiction Services,ARID Group Homes (Niagara),,,,89 Queen Street,,Practice Location,Fort Erie,L2A1T9,2024/06/25 13:34:54+00,2024/06/25 11:37:45+00,2024/06/25 21:54:59+00,2067873
-74.713563,45.024901,319880144,30861,Mental Health and Addiction Organization,Mental Health Services,"LÕéquipe dÕhygine mentale pour francophones de Stormont, Dundas et Glengarry","LÕéquipe dÕhygine mentale pour francophones de Stormont, Dundas et Glengarry",,,610 McConnell Avenue,,Administration and Practice Location,Cornwall,K6H4M1,2024/06/25 13:34:16+00,2024/06/25 11:44:43+00,2024/06/25 21:54:59+00,2067889
-79.3952496,43.6899704,319885482,8182539,Pharmacy,Retail Pharmacy,Delisle Pharmacy,,,,1566 Yonge Street,,,Toronto,M4T2S9,2024/06/25 13:35:27+00,2024/06/25 11:56:07+00,2024/06/25 21:54:59+00,2067905
-79.2998786,43.6701194,319886139,8923472,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #984,,,,2000 Queen Street  E,,,Toronto,M4L1J2,2024/06/25 13:37:00+00,2024/06/25 11:57:31+00,2024/06/25 21:54:59+00,2067921
-81.7118939,43.7331245,319883510,5729410,Pharmacy,Long Term Care Facility,Maitland Manor,,,,290 South Street,,,Goderich,N7A4G6,2024/06/25 13:37:20+00,2024/06/25 11:51:52+00,2024/06/25 21:54:59+00,2067937
-75.8947686,45.304229,319881499,2315872,Pharmacy,Allergen Supplier,Kanata Allergy Services Ltd,,,,99 Kakulu Road,102,,Kanata,K2L3C8,2024/06/25 13:36:04+00,2024/06/25 11:47:43+00,2024/06/25 21:54:59+00,2067953
-79.1972637,43.8001514,319885416,8110992,Pharmacy,Retail Pharmacy,Milner Healthcare Pharmacy,,,,857 Milner Ave,,,Scarborough,M1B5N6,2024/06/25 13:33:30+00,2024/06/25 11:55:59+00,2024/06/25 21:54:59+00,2067969
-79.2059627,43.7823034,319878435,4084,Licensed Lab and Specimen Collection Centre Locations,Licensed  Hospital Lab Location,Scarborough Health Network - Centenary Hospital,,,,2867 Ellesmere Road,Margaret Birch Wing,"Billing, Administration, & Practice Address",Scarborough,M1E4B9,2024/06/25 13:34:39+00,2024/06/25 11:40:45+00,2024/06/25 21:54:59+00,2067985
-79.7329885,43.3668105,319882437,4152712,Pharmacy,Retail Pharmacy,St George Pharmacy,,,,5295 Lakeshore Road,,,Burlington,L7L1C7,2024/06/25 13:33:59+00,2024/06/25 11:49:45+00,2024/06/25 21:54:59+00,2068001
-82.4515477,42.8936847,319887190,9000000054,Seniors Active Living Centre,,The Cruickshank Centre,,,,198 Beckwith Street,,,Corunna,N0N1G0,2024/06/25 13:35:06+00,2024/06/25 12:00:37+00,2024/06/25 21:54:59+00,2068017
-79.0873057,43.8751534,319877660,3118,Licensed Lab and Specimen Collection Centre Locations,Licensed Specimen Collection Centre Location,LifeLabs LP,,,,1690 Dersan Street,,Practice Address,Pickering,L1V2P8,2024/06/25 13:36:36+00,2024/06/25 11:38:57+00,2024/06/25 21:54:59+00,2068033
-75.9117556,45.310417,319880766,892136,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,500 Earl Grey Drive,,,Kanata,K2T1B6,2024/06/25 13:37:45+00,2024/06/25 11:46:07+00,2024/06/25 21:54:59+00,2068049
-79.6532645,43.5840204,319883165,5276756,Pharmacy,Retail Pharmacy,Rathburn Pharmacy,,,,592 Rathburn Road West,,,Mississauga,L5B3A4,2024/06/25 13:35:44+00,2024/06/25 11:51:09+00,2024/06/25 21:54:59+00,2068065
-79.4033719,43.6573311,319883270,5401822,Integrated Community Health Services Centre,"Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",Kensington Diagnostic Imaging Centre,,,,340 College Street,,,Toronto,M5T3A9,2024/06/25 13:37:26+00,2024/06/25 11:51:23+00,2024/06/25 21:54:59+00,2068081
-79.5618736,43.1886135,319882019,3379098,Pharmacy,Long Term Care Facility,Albright Manor,,,,5035 Mountain Street,,,Beamsville,L0R1B0,2024/06/25 13:37:36+00,2024/06/25 11:48:51+00,2024/06/25 21:54:59+00,2068097
-79.2542453,43.7742588,319880529,406443,Integrated Community Health Services Centre,"Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",KMH Cardiology Centres Inc.,,,,55 Town Centre Court,,,Scarborough,M1P4X4,2024/06/25 13:36:09+00,2024/06/25 11:45:34+00,2024/06/25 21:54:59+00,2068113
-79.8886394,44.7501393,319877452,2661,Mental Health and Addiction Organization,Mental Health Services,Wendat Community Programs,,,,237 2nd Street,,Administration and Practice Location,Midland,L4R4P4,2024/06/25 13:36:42+00,2024/06/25 11:38:30+00,2024/06/25 21:54:59+00,2068129
-79.5190066,43.6844744,319880877,1102434,Pharmacy,Long Term Care Facility,Ukrainian Canadian Care Centre,,,,60 Richview Road,,,Etobicoke,M9A5E4,2024/06/25 13:37:42+00,2024/06/25 11:46:21+00,2024/06/25 21:54:59+00,2068145
-75.6833877,45.4291159,319880291,81086,HIV/AIDS and Hep C Programs,"HR Program, HIV Clinical Services","Sandy Hill Community Health Centre, OASIS Program",,,,221 Nelson Street,1st Floor,Practice Location,Ottawa,K1N1C7,2024/06/25 13:36:16+00,2024/06/25 11:45:02+00,2024/06/25 21:54:59+00,2068161
-77.7898061,44.3131262,319878333,4015,Community Support Services,,Community Care Northumberland Inc.,,Campbellford Community Care,,174 Oliver Road,Unit 23,,Trent Hills,K0L1L0,2024/06/25 13:34:41+00,2024/06/25 11:40:29+00,2024/06/25 21:54:59+00,2068177
-81.027329,44.1540044,319887903,S0197,Licenced Retirement Home,,Choices Living Retirement Residence,,,,326 12th Street,,,Hanover,N4N1V6,2024/06/25 13:33:12+00,2024/06/25 12:03:04+00,2024/06/25 21:54:59+00,2068193
-75.8449646,45.190546,319886705,9412030,Pharmacy,Retail Pharmacy,Paragon Compounding Centre,,,,6255 Perth Street,5,,Richmond,K0A2Z0,2024/06/25 13:33:19+00,2024/06/25 11:59:23+00,2024/06/25 21:54:59+00,2068209
-79.2887991,43.8031332,319881050,1344410,Integrated Community Health Services Centre,Vascular Ultrasound,Lighthouse Medical Imaging - Finch,,,,4168 Finch Avenue East,,,Scarborough,M1S5H6,2024/06/25 13:34:12+00,2024/06/25 11:46:42+00,2024/06/25 21:54:59+00,2068225
-75.3213148,44.845463,319883936,6267595,Pharmacy,Retail Pharmacy,Rexall #8132,,,,2100 Dundas Street,,,Cardinal,K0E1E0,2024/06/25 13:33:44+00,2024/06/25 11:52:46+00,2024/06/25 21:54:59+00,2068241
-84.3315767,46.5111262,319878130,3778,Mental Health and Addiction Organization,Mental Health Services,Sault Area Hospital,,,,118 March Street,,Practice Location,Sault Ste. Marie,P6A2Z3,2024/06/25 13:34:47+00,2024/06/25 11:40:02+00,2024/06/25 21:54:59+00,2068257
-75.5980377,45.4518509,319886842,9537995,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #623,,,,2339 Ogilvie Road,,,Ottawa,K1J8M6,2024/06/25 13:35:14+00,2024/06/25 11:59:42+00,2024/06/25 21:54:59+00,2068273
-79.9167092,46.373006,319878576,4166,Licensed Lab and Specimen Collection Centre Locations,Licensed  Hospital Lab Location,West Nipissing General Hospital,,,,725 Coursol Road,,"Billing, Administration, & Practice Address",Sturgeon Falls,P2B2Y6,2024/06/25 13:34:36+00,2024/06/25 11:41:05+00,2024/06/25 21:54:59+00,2068289
-79.4182486,43.6638384,319877984,3641,Licensed Lab and Specimen Collection Centre Locations,Licensed Specimen Collection Centre Location,Dynacare,,,,726 Bloor Street West,,Practice Address,Toronto,M6G1L4,2024/06/25 13:37:50+00,2024/06/25 11:39:43+00,2024/06/25 21:54:59+00,2068305
-80.4832723,43.4795435,319882956,5008270,Pharmacy,Retail Pharmacy,Refresh Pharmacy,,,,580 Lancaster Street West,,,Kitchener,N2K1M3,2024/06/25 13:35:49+00,2024/06/25 11:50:45+00,2024/06/25 21:54:59+00,2068321
-81.0058728,46.613914,319877775,3314,Licensed Lab and Specimen Collection Centre Locations,Licensed Specimen Collection Centre Location,LifeLabs,,,,3140 Highway 69 North,,Practice Address,Val Caron,P3N1G3,2024/06/25 13:37:58+00,2024/06/25 11:39:14+00,2024/06/25 21:54:59+00,2068337
-79.5322736,43.6441314,319888274,T0551,Licenced Retirement Home,,Tapestry at Village Gate West,,,,15 Summerland Terrace,,,Toronto,M9A0B5,2024/06/25 13:35:00+00,2024/06/25 12:04:24+00,2024/06/25 21:54:59+00,2068353
-79.6534475,43.7109824,319881122,1443478,Pharmacy,Retail Pharmacy,Airport Pharmacy,,,,2985 Drew Road,Unit 114,,Mississauga,L4T0A4,2024/06/25 13:34:09+00,2024/06/25 11:46:52+00,2024/06/25 21:54:59+00,2068369
-75.8702756,45.273699,319881992,3321676,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,5357 Fernbank Road,,,Kanata,K2S0T7,2024/06/25 13:37:35+00,2024/06/25 11:48:47+00,2024/06/25 21:54:59+00,2068385
-79.3771326,43.6555464,319878746,4285,Licensed Lab and Specimen Collection Centre Locations,Licensed  Hospital Lab Location,Reactivation Care Centre - William Osler Health System,,,,200 Church Street,,"Billing, Administration, & Practice Address",Toronto,M9N1N8,2024/06/25 13:34:32+00,2024/06/25 11:41:30+00,2024/06/25 21:54:59+00,2068401
-79.8875125,43.2130265,319885456,8158799,Pharmacy,Retail Pharmacy,M-Line Pharmacy,,,,1289 Upper James Street,,,Hamilton,L9C3B3,2024/06/25 13:35:29+00,2024/06/25 11:56:03+00,2024/06/25 21:54:59+00,2068417
-79.4340776,43.7958784,319886109,8887751,Pharmacy,Retail Pharmacy,Princerx-Thornhill Pharmacy,,,,390 Steeles Avenue W,2,,Thornhill,L4J6X2,2024/06/25 13:36:59+00,2024/06/25 11:57:24+00,2024/06/25 21:54:59+00,2068433
-79.8504735,43.2478965,319883484,5694858,Pharmacy,Long Term Care Facility,Hamilton Continuing Care,,,,125 Wentworth Street  S,,,Hamilton,L8N2Z1,2024/06/25 13:37:20+00,2024/06/25 11:51:49+00,2024/06/25 21:54:59+00,2068449
-79.9346265,43.2567415,319881474,2269716,Pharmacy,Retail Pharmacy,Total Health Pharmacy #135,,,,1685 Main Street  W,135A,,Hamilton,L8S1G5,2024/06/25 13:36:06+00,2024/06/25 11:47:39+00,2024/06/25 21:54:59+00,2068465
-79.9124995,43.1597995,319885397,8094992,Pharmacy,Retail Pharmacy,Mount Hope Pharmasave,,,,3055 Homestead Dr,,,Mount Hope,L0R1W0,2024/06/25 13:33:29+00,2024/06/25 11:55:57+00,2024/06/25 21:54:59+00,2068481
-79.5420566,43.1876925,319878404,4062,Community Support Services,,West Niagara Palliative Care Service,,Grimsby Palliative Care Service,,c/o West Lincoln Memorial Hospital,,,Grimsby,L3M1P3,2024/06/25 13:34:41+00,2024/06/25 11:40:40+00,2024/06/25 21:54:59+00,2068497
-82.3819058,42.5948897,319887132,9000000024,Seniors Active Living Centre,,Wallaceburg Senior Citizens' Club Inc.,,,,205 James Street,,,Wallaceburg,N8A2N4,2024/06/25 13:35:07+00,2024/06/25 12:00:26+00,2024/06/25 21:54:59+00,2068513
-79.4876746,43.6175694,319877621,3060,Licensed Lab and Specimen Collection Centre Locations,Licensed Specimen Collection Centre Location,LifeLabs,,,,2318 Lakeshore Boulevard West,,Practice Address,Etobicoke,M8V1A8,2024/06/25 13:36:37+00,2024/06/25 11:38:52+00,2024/06/25 21:54:59+00,2068529
-79.396312,43.6968692,319880708,762129,Integrated Community Health Services Centre,,Respiratory Services Limited,,,,1849 Yonge Street,,,Toronto,M4S1Y2,2024/06/25 13:37:47+00,2024/06/25 11:45:58+00,2024/06/25 21:54:59+00,2068545
-81.3329571,42.9978636,319883132,5218196,Pharmacy,Retail Pharmacy,Grace Drug Store,,,,1070 Gainsborough Road,,,London,N6H5L5,2024/06/25 13:35:46+00,2024/06/25 11:51:05+00,2024/06/25 21:54:59+00,2068561
-79.3795592,43.7105375,319881318,1932458,Integrated Community Health Services Centre,Pulmonary Function B - Lung Volumes & Diffusion,Bayview Pulmonary Services Inc.,,,,586 Eglinton Avenue East,,,Toronto,M4P1P2,2024/06/25 13:34:06+00,2024/06/25 11:47:17+00,2024/06/25 21:54:59+00,2068577
-80.3039423,43.4001175,319883261,5394637,Pharmacy,Retail Pharmacy,Carerx Cambridge,,,,1165 Franklin Boulevard,L,,Cambridge,N1R8E1,2024/06/25 13:37:25+00,2024/06/25 11:51:21+00,2024/06/25 21:54:59+00,2068593
-76.5241265,44.2276942,319881933,3209094,Pharmacy,Retail Pharmacy,Ongwanada Pharmacy,,,,191 Portsmouth Ave,,,Kingston,K7M8A6,2024/06/25 13:37:36+00,2024/06/25 11:48:40+00,2024/06/25 21:54:59+00,2068609
-79.6603365,43.7844984,319880499,351951,Pharmacy,Retail Pharmacy,Freshco,,,,3998 Cottrelle Boulevard,,,Brampton,L6P2R1,2024/06/25 13:36:11+00,2024/06/25 11:45:30+00,2024/06/25 21:54:59+00,2068625
-79.4209106,43.6427634,319877399,2454,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Centre for Addiction and Mental Health (CAMH),,,,60 White Squirrel Way,,Practice Location,Toronto,M6J1H4,2024/06/25 13:36:43+00,2024/06/25 11:38:22+00,2024/06/25 21:54:59+00,2068641
-79.5510505,43.8049315,319880259,55287,Integrated Community Health Services Centre,"Bone Mineral DXA, Mammography, Radiography, Vascular Ultrasound",Dixie X-Ray Associates Limited - Columbus Centre,,,,8333 Weston Road,,,Woodbridge,L4L8E2,2024/06/25 13:36:16+00,2024/06/25 11:44:58+00,2024/06/25 21:54:59+00,2068657
-76.9658867,44.2403605,319879361,5920,Hospital,Corporation,Lennox and Addington County General Hospital,,Lennox and Addington County General Hospital,,8 Richmond Park Dr,,,Napanee,K7R2B5,2024/06/25 13:34:25+00,2024/06/25 11:42:56+00,2024/06/25 21:54:59+00,2068673
-77.4019512,44.1635082,319880126,30757,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Hastings Prince Edward,,,,250 Sidney Street,,Administration and Practice Location,Belleville,K8P3Z3,2024/06/25 13:34:15+00,2024/06/25 11:44:40+00,2024/06/25 21:54:59+00,2068689
-79.2421347,43.1648375,319884930,7511631,Pharmacy,Retail Pharmacy,Singar'S Pharmacy,,,,164 Welland Ave,,,St Catharines,L2R2N6,2024/06/25 13:37:06+00,2024/06/25 11:54:48+00,2024/06/25 21:54:59+00,2068705
-81.2933371,42.9904246,319886692,9400392,Pharmacy,Retail Pharmacy,London Care Pharmacy North,,,,1261 Beaverbrook Ave,,,London,N6H0G6,2024/06/25 13:33:19+00,2024/06/25 11:59:21+00,2024/06/25 21:54:59+00,2068721
-82.4317958,42.2596748,319881042,1331017,Pharmacy,Retail Pharmacy,Tilbury Pharmacy,,,,8 Queen Street  N,,,Tilbury,N0P2L0,2024/06/25 13:34:12+00,2024/06/25 11:46:41+00,2024/06/25 21:54:59+00,2068737
-79.6927814,44.3900973,319883916,6241550,Pharmacy,Retail Pharmacy,Rexall #6959,,,,68 Maple Ave,,,Barrie,L4N1R8,2024/06/25 13:33:43+00,2024/06/25 11:52:44+00,2024/06/25 21:54:59+00,2068753
-79.4310066,43.6432834,319877326,2294,Mental Health and Addiction Organization,Addiction Services,Breakaway Community Services,,,,21 Strickland Avenue,,Administration and Practice Location,Toronto,M6K3E6,2024/06/25 13:34:48+00,2024/06/25 11:38:12+00,2024/06/25 21:54:59+00,2068769
-78.9712728,42.9037305,319886813,9523599,Pharmacy,Retail Pharmacy,Freeland Pharmacy,,,,1485 Garrison Road,,,Fort Erie,L2A1P8,2024/06/25 13:35:17+00,2024/06/25 11:59:38+00,2024/06/25 21:54:59+00,2068785
